TradeID,Buy_Time,Sell_Time,Symbol,Buy_Price,Sell_Price,Contracts,ProfitLoss,ProfitPercent,Profitable,Buy_Comm,Sell_Comm
98,2/15/2023 9:34:35 ,2/15/2023 9:35:44 ,SPY 230216P410,1.8,1.75,2,-10.0,-2.78%,0,2.0,2.0
99,2/15/2023 10:17:11 ,2/15/2023 10:17:25 ,SPY 230216P410,1.75,1.66,1,-9.0,-5.14%,0,1.0,1.0
100,2/16/2023 9:32:16 ,2/16/2023 9:32:36 ,SPY 230217P409,2.08,2.15,1,7.0,3.37%,1,1.0,1.0
101,2/16/2023 9:32:16 ,2/16/2023 9:36:35 ,SPY 230217P409,2.08,2.53,1,45.0,21.63%,1,1.0,1.0
102,2/17/2023 9:46:13 ,2/17/2023 9:47:01 ,SPY 230217C405,1.61,1.69,1,8.0,4.97%,1,1.0,1.0
103,2/17/2023 9:46:13 ,2/17/2023 9:47:47 ,SPY 230217C405,1.61,1.83,1,22.0,13.66%,1,1.0,1.0
104,2/17/2023 9:51:22 ,2/17/2023 9:52:12 ,SPY 230217C405,1.58,1.53,2,-10.0,-3.16%,0,2.0,2.0
105,2/17/2023 10:02:47 ,2/17/2023 10:03:43 ,SPY 230221P403,1.81,1.68,2,-26.0,-7.18%,0,2.0,2.0
106,2/21/2023 9:30:49 ,2/21/2023 9:32:04 ,SPY 230222P403,2.07,2.18,1,11.0,5.31%,1,1.0,1.0
107,2/21/2023 9:30:49 ,2/21/2023 9:32:19 ,SPY 230222P403,2.07,2.09,1,2.0,0.97%,1,1.0,1.0
108,2/21/2023 9:53:46 ,2/21/2023 9:56:10 ,SPY 230222P403,2.14,2.3,1,16.0,7.48%,1,1.0,1.0
109,2/21/2023 9:53:46 ,2/21/2023 9:56:29 ,SPY 230222P403,2.14,2.43,1,29.0,13.55%,1,1.0,1.0
110,2/22/2023 9:41:11 ,2/22/2023 9:41:31 ,SPY 230222P400,1.61,1.52,2,-17.0,-5.28%,0,2.0,2.0
111,2/23/2023 9:37:17 ,2/23/2023 9:38:11 ,SPY 230224C402,1.79,1.72,2,-14.0,-3.91%,0,2.0,2.0
112,2/24/2023 10:08:16 ,2/24/2023 10:09:39 ,SPY 230227C396,1.86,1.84,2,-4.0,-1.08%,0,2.0,2.0
113,2/24/2023 10:37:25 ,2/24/2023 10:37:41 ,SPY 230227C395,2.01,1.95,2,-12.0,-2.99%,0,2.0,2.0
114,2/27/2023 9:53:40 ,2/27/2023 9:55:05 ,SPY 230228P399,1.6,1.59,2,-2.0,-0.62%,0,2.0,2.0
115,2/27/2023 10:09:31 ,2/27/2023 10:11:59 ,SPY 230228P401,1.86,1.94,1,8.0,4.30%,1,1.0,1.0
116,2/27/2023 10:09:31 ,2/27/2023 10:13:26 ,SPY 230228P401,1.86,1.89,1,3.0,1.61%,1,1.0,1.0
117,2/27/2023 10:31:00 ,2/27/2023 10:33:31 ,SPY 230228C401,1.78,1.76,1,-2.0,-1.12%,0,1.0,1.0
118,2/27/2023 10:34:30 ,2/27/2023 10:35:43 ,SPY 230228C401,1.73,1.67,2,-11.0,-3.19%,0,2.0,2.0
119,2/28/2023 9:31:45 ,2/28/2023 9:32:25 ,SPY 230301C397,2.11,2.04,2,-14.0,-3.32%,0,2.0,2.0
120,3/1/2023 09:32:24,3/1/2023 09:32:44,SPY 230302P395,1.74,1.68,2,-12.0,-3.45%,0,2.0,2.0
121,3/2/2023 09:36:30,3/2/2023 09:37:29,SPY 230303C393,1.97,1.9,2,-14.0,-3.55%,0,2.0,2.0
122,3/6/2023 09:48:11,3/6/2023 09:50:23,SPY 230307C406,2.02,2.0,2,-4.0,-0.99%,0,2.0,2.0
123,3/6/2023 10:17:21,3/6/2023 10:17:52,SPY 230307P406,2.08,2.03,2,-10.0,-2.40%,0,2.0,2.0
124,3/7/2023 09:51:31,3/7/2023 09:55:39,SPY 230308P404,2.05,2.05,2,0.0,0.00%,1,2.0,2.0
125,3/7/2023 10:23:47,3/7/2023 10:24:35,SPY 230308P402,1.95,2.03,1,8.0,4.10%,1,1.0,1.0
126,3/7/2023 10:23:47,3/7/2023 10:24:52,SPY 230308P402,1.95,2.17,1,22.0,11.28%,1,1.0,1.0
127,3/7/2023 10:35:25,3/7/2023 10:35:49,SPY 230308P403,2.09,1.99,1,-10.0,-4.78%,0,1.0,1.0
128,3/8/2023 09:48:44,3/8/2023 09:49:02,SPY 230309P398,1.82,1.75,2,-14.0,-3.85%,0,2.0,2.0
129,3/9/2023 09:32:46,3/9/2023 09:34:03,SPY 230310C400,2.45,2.68,1,23.0,9.39%,1,1.0,1.0
130,3/9/2023 09:32:46,3/9/2023 09:34:27,SPY 230310C400,2.45,2.77,1,32.0,13.06%,1,1.0,1.0
131,3/9/2023 09:48:22,3/9/2023 09:48:54,SPY 230310P401,2.64,2.56,2,-16.0,-3.03%,0,2.0,2.0
132,3/10/2023 09:35:22,3/10/2023 09:35:29,SPY 230313C391,2.35,2.25,2,-21.0,-4.47%,0,2.0,2.0
133,3/13/2023 8:47:34 ,3/13/2023 8:47:40 ,SPY 230313P382,2.43,2.27,2,-32.0,-6.58%,0,2.0,2.0
134,3/14/2023 8:31:35 ,3/14/2023 8:31:47 ,SPY 230315P390,2.73,2.85,1,12.0,4.40%,1,1.0,1.0
135,3/14/2023 8:31:35 ,3/14/2023 8:32:01 ,SPY 230315P390,2.73,2.72,1,-1.0,-0.37%,0,1.0,1.0
136,3/14/2023 8:37:35 ,3/14/2023 8:37:50 ,SPY 230315P390,2.46,2.36,1,-10.0,-4.07%,0,1.0,1.0
137,3/14/2023 8:38:17 ,3/14/2023 8:39:11 ,SPY 230315P390,2.43,2.37,2,-12.0,-2.47%,0,2.0,2.0
138,3/15/2023 8:34:26 ,3/15/2023 8:34:39 ,SPY 230315P385,1.59,1.5,2,-18.0,-5.66%,0,2.0,2.0
139,3/20/2023 8:33:45 ,3/20/2023 8:33:59 ,SPY 230321P391,2.64,2.48,1,-16.0,-6.06%,0,1.0,1.0
140,3/20/2023 8:36:31 ,3/20/2023 8:36:41 ,SPY 230321C391,2.82,2.71,1,-11.0,-3.90%,0,1.0,1.0
141,3/21/2023 8:32:37 ,3/21/2023 8:34:06 ,AAPL 230324P157.5,1.84,1.82,1,-2.0,-1.09%,0,1.0,1.0
142,3/21/2023 8:41:02 ,3/21/2023 8:44:31 ,AAPL 230324C157.5,2.24,2.25,1,1.0,0.45%,1,1.0,1.0
143,3/21/2023 8:48:05 ,3/21/2023 8:48:14 ,AAPL 230324C157.5,2.24,2.19,1,-5.0,-2.23%,0,1.0,1.0
144,3/21/2023 8:53:38 ,3/21/2023 8:54:08 ,AAPL 230324P157.5,2.15,2.1,1,-5.0,-2.33%,0,1.0,1.0
145,3/21/2023 8:54:35 ,3/21/2023 8:55:10 ,AAPL 230324P157.5,2.1,2.06,1,-4.0,-1.90%,0,1.0,1.0
146,3/22/2023 9:03:55 ,3/22/2023 9:04:38 ,AAPL 230331C160,2.62,2.59,1,-3.0,-1.15%,0,1.0,1.0
147,3/22/2023 9:05:18 ,3/22/2023 9:05:40 ,AAPL 230331C160,2.61,2.54,1,-7.0,-2.68%,0,1.0,1.0
148,3/22/2023 9:10:16 ,3/22/2023 9:36:01 ,AAPL 230331C160,2.4,2.87,1,47.0,19.58%,1,1.0,1.0
149,3/22/2023 9:52:42 ,3/22/2023 10:00:57 ,SPY 230323C400,3.09,3.03,1,-6.0,-1.94%,0,1.0,1.0
150,3/22/2023 10:01:19 ,3/22/2023 10:03:40 ,SPY 230323C400,3.07,3.05,1,-2.0,-0.65%,0,1.0,1.0
151,3/22/2023 10:05:10 ,3/22/2023 10:07:26 ,SPY 230323C400,3.01,3.01,1,0.0,0.00%,1,1.0,1.0
152,3/22/2023 10:09:05 ,3/22/2023 10:09:39 ,SPY 230323C399,3.48,3.44,1,-4.0,-1.15%,0,1.0,1.0
153,3/22/2023 10:10:20 ,3/22/2023 10:12:13 ,SPY 230323C399,3.45,3.42,1,-3.0,-0.87%,0,1.0,1.0
154,3/23/2023 8:46:20 ,3/23/2023 8:46:26 ,SPY 230324P396,2.33,2.31,1,-2.0,-0.86%,0,1.0,1.0
155,3/23/2023 9:00:27 ,3/23/2023 9:01:04 ,SPY 230324P396,2.25,2.17,1,-8.0,-3.56%,0,1.0,1.0
156,3/23/2023 9:02:10 ,3/23/2023 9:05:27 ,SPY 230324P396,2.17,2.31,1,14.0,6.45%,1,1.0,1.0
157,3/23/2023 9:20:41 ,3/23/2023 9:21:41 ,SPY 230324C397,2.14,2.09,1,-5.0,-2.34%,0,1.0,1.0
158,3/23/2023 9:36:24 ,3/23/2023 9:38:31 ,SPY 230324P396,2.08,2.0,1,-8.0,-3.85%,0,1.0,1.0
159,3/23/2023 9:45:39 ,3/23/2023 9:46:02 ,SPY 230324P397,2.13,1.95,1,-18.0,-8.45%,0,1.0,1.0
160,3/27/2023 8:31:21 ,3/27/2023 8:31:30 ,SPY 230328C399,1.71,1.68,1,-3.0,-1.75%,0,1.0,1.0
161,3/27/2023 8:32:01 ,3/27/2023 8:32:05 ,SPY 230328C399,1.71,1.66,1,-5.0,-2.92%,0,1.0,1.0
162,3/27/2023 8:41:49 ,3/27/2023 8:42:02 ,SPY 230328P398,2.11,2.03,1,-8.0,-3.79%,0,1.0,1.0
163,3/27/2023 8:42:36 ,3/27/2023 8:42:48 ,SPY 230328P398,2.02,2.01,1,-1.0,-0.50%,0,1.0,1.0
164,3/27/2023 8:44:27 ,3/27/2023 8:44:48 ,SPY 230328P398,1.99,1.95,1,-4.0,-2.01%,0,1.0,1.0
165,3/27/2023 8:46:43 ,3/27/2023 8:47:02 ,SPY 230328P398,1.84,1.79,1,-5.0,-2.72%,0,1.0,1.0
166,3/28/2023 8:31:55 ,3/28/2023 8:32:03 ,SPY 230329C396,1.88,1.82,1,-6.0,-3.19%,0,1.0,1.0
167,3/28/2023 8:32:15 ,3/28/2023 8:32:39 ,SPY 230329C396,1.86,1.76,1,-10.0,-5.38%,0,1.0,1.0
168,3/28/2023 8:40:35 ,3/28/2023 8:40:56 ,SPY 230329P395,1.83,1.79,1,-4.0,-2.19%,0,1.0,1.0
169,3/28/2023 8:46:05 ,3/28/2023 8:49:01 ,SPY 230329P395,1.68,1.76,1,8.0,4.76%,1,1.0,1.0
170,3/28/2023 8:52:31 ,3/28/2023 8:52:36 ,SPY 230329P395,1.87,1.83,1,-4.0,-2.14%,0,1.0,1.0
171,3/28/2023 8:52:39 ,3/28/2023 8:52:55 ,SPY 230329P395,1.85,1.81,1,-4.0,-2.16%,0,1.0,1.0
172,3/28/2023 8:54:06 ,3/28/2023 8:55:02 ,SPY 230329P395,1.69,1.63,1,-6.0,-3.55%,0,1.0,1.0
173,4/3/2023 08:36:10,4/3/2023 08:36:23,AAPL 230406P165,1.29,1.23,1,-6.0,-4.65%,0,1.0,1.0
174,4/3/2023 08:37:02,4/3/2023 08:38:26,AAPL 230406P165,1.22,1.19,1,-3.0,-2.46%,0,1.0,1.0
175,4/3/2023 08:48:09,4/3/2023 08:48:27,SPY 230404P410,1.7,1.66,1,-4.0,-2.35%,0,1.0,1.0
176,4/3/2023 08:49:01,4/3/2023 08:50:01,SPY 230404P410,1.66,1.57,1,-9.0,-5.42%,0,1.0,1.0
177,4/3/2023 08:50:17,4/3/2023 08:52:09,SPY 230404P410,1.63,1.58,1,-5.0,-3.07%,0,1.0,1.0
178,4/4/2023 08:45:22,4/4/2023 08:52:58,SPY 230405C411,1.56,1.65,1,9.0,5.77%,1,1.0,1.0
179,4/4/2023 09:48:26,4/4/2023 09:49:50,SPY 230405C410,1.66,1.61,1,-5.0,-3.01%,0,1.0,1.0
180,4/4/2023 09:50:11,4/4/2023 09:53:28,SPY 230405C410,1.68,1.56,1,-12.0,-7.14%,0,1.0,1.0
181,4/4/2023 09:53:51,4/4/2023 09:57:15,SPY 230405C410,1.62,1.67,1,5.0,3.09%,1,1.0,1.0
182,4/5/2023 08:33:27,4/5/2023 08:41:43,SPY 230406P408,1.6,1.66,1,6.0,3.75%,1,1.0,1.0
183,4/5/2023 08:48:11,4/5/2023 08:50:19,SPY 230406P408,1.57,1.59,1,2.0,1.27%,1,1.0,1.0
184,4/5/2023 08:52:57,4/5/2023 08:53:05,SPY 230406P408,1.51,1.43,1,-8.0,-5.30%,0,1.0,1.0
185,4/5/2023 09:08:01,4/5/2023 09:09:25,SPY 230406C407.5,1.66,1.67,1,1.0,0.60%,1,1.0,1.0
186,4/5/2023 09:12:22,4/5/2023 09:13:02,SPY 230406C407.5,1.62,1.61,1,-1.0,-0.62%,0,1.0,1.0
187,4/5/2023 09:13:06,4/5/2023 09:13:20,SPY 230406C407.5,1.63,1.58,1,-5.0,-3.07%,0,1.0,1.0
